Model,Period_s,RMSE,R2,Sigma,Bias
BNN,0.65,1.0210776,0.806147575378418,1.0060253,-0.17468189
BNN,0.667,1.024807,0.8042019009590149,1.0236632,-0.048399527
BNN,0.7,0.97381675,0.822504460811615,0.96750337,0.11071027
BNN,0.75,0.9829636,0.8177829384803772,0.9735096,-0.13600649
BNN,0.8,1.0175161,0.8039246201515198,0.98656243,-0.24906342
BNN,0.85,0.9795865,0.8170804977416992,0.9780781,-0.05432476
BNN,0.9,0.97474915,0.8182023167610168,0.9744571,-0.023826754
BNN,0.95,0.9418321,0.8296924233436584,0.9418315,-3.736375e-05
BNN,1.0,1.0031335,0.8058236837387085,1.0031257,-0.0037743137
BNN,1.1,0.9454857,0.8264496922492981,0.9454665,0.0058797994
BNN,1.2,0.97897285,0.8121353983879089,0.97709376,0.060625825
BNN,1.3,1.0146953,0.797065019607544,0.9973865,-0.18661737
BNN,1.4,0.9844177,0.8086228370666504,0.97725844,0.11850423
BNN,1.5,0.92208993,0.8313488364219666,0.9164334,0.101975426
BNN,1.6,0.93254614,0.8270794749259949,0.9299248,-0.06985885
BNN,1.7,0.93945223,0.8236798644065857,0.93458885,0.09547271
BNN,1.8,1.0111166,0.7957202196121216,0.99828595,-0.16056836
BNN,1.9,1.0094222,0.7969862222671509,0.985709,0.21751197
BNN,2.0,0.9026759,0.8379241824150085,0.9021996,0.02932958
BNN,2.2,0.95394856,0.81878662109375,0.95086324,-0.07667188
BNN,2.4,0.92900556,0.8291265964508057,0.91677964,0.15022041
BNN,2.5,0.9336404,0.8276271820068359,0.9321545,-0.05266327
BNN,2.6,0.87535733,0.8488715291023254,0.872664,0.06862272
BNN,2.8,0.94377416,0.8250257968902588,0.9428272,-0.042266395
BNN,3.0,0.9237227,0.8326083421707153,0.9204766,-0.07737367
BNN,3.2,0.9270916,0.8323094248771667,0.91786695,-0.13045068
BNN,3.4,0.89969647,0.8432249426841736,0.8958114,-0.08352078
BNN,3.5,0.9161182,0.8379786014556885,0.90226597,0.15871623
BNN,3.6,0.9353131,0.8312520980834961,0.93075514,-0.09222208
BNN,3.8,0.9542545,0.8246419429779053,0.9516012,-0.071116455
BNN,4.0,0.94384474,0.8291528820991516,0.93884516,-0.097020164
BNN,4.2,0.9450641,0.8290033340454102,0.9259357,-0.18918782
BNN,4.4,0.9108229,0.8416099548339844,0.9103593,0.029055206
BNN,4.6,0.9223819,0.8380919694900513,0.9187965,-0.08124799
BNN,4.8,0.91445583,0.8413706421852112,0.909129,-0.0985599
BNN,5.0,0.9101787,0.8433940410614014,0.90861166,0.05339327
BNN,5.5,0.8937684,0.8510922789573669,0.893702,0.010948296
BNN,6.0,0.9633613,0.8287811279296875,0.9545017,0.13034691
BNN,6.5,0.9085436,0.8488373756408691,0.890383,0.18074833
BNN,7.0,0.88267326,0.8584423065185547,0.88250726,0.017110603
BNN,7.5,0.8798063,0.859975278377533,0.87357813,-0.10450047
BNN,8.0,1.012329,0.8154796361923218,1.0019084,-0.14487068
BNN,8.5,0.9677204,0.8318876028060913,0.9644377,-0.07962877
BNN,9.0,0.956564,0.836304247379303,0.9565631,-0.00055685
BNN,9.5,0.9222557,0.848294198513031,0.9086968,0.15756251
BNN,10.0,0.90940654,0.8530826568603516,0.90906787,-0.024859576
BNN-Improved,0.01,0.95804244,0.8367524743080139,0.95587003,0.06447523
BNN-Improved,0.02,0.96984774,0.8331193923950195,0.96118,-0.12936941
BNN-Improved,0.022,0.9792472,0.8299626111984253,0.9626689,-0.17942485
BNN-Improved,0.025,0.9694732,0.8335613012313843,0.96894276,-0.032071713
BNN-Improved,0.029,0.98261833,0.8297204971313477,0.97050256,0.15383044
BNN-Improved,0.03,0.97653687,0.8319991230964661,0.9762992,0.021528406
BNN-Improved,0.032,0.9826898,0.8302866220474243,0.9804941,0.065663636
BNN-Improved,0.035,1.0164897,0.8192501664161682,0.98292345,-0.25905982
BNN-Improved,0.036,0.9898722,0.8288562893867493,0.9882158,-0.05721674
BNN-Improved,0.04,1.0094737,0.8228325843811035,0.99854225,0.14815657
BNN-Improved,0.042,1.0123426,0.822374701499939,1.0069402,0.104450524
BNN-Improved,0.044,1.007552,0.8245114088058472,1.0066866,0.04176292
BNN-Improved,0.045,1.0340066,0.8153165578842163,1.0107231,0.21819459
BNN-Improved,0.046,1.031345,0.8164454102516174,1.0137544,-0.18966514
BNN-Improved,0.048,1.0194565,0.8210414052009583,1.0161101,0.08254173
BNN-Improved,0.05,1.0243441,0.8196728825569153,1.0239576,-0.028142896
BNN-Improved,0.055,1.035261,0.8169246315956116,1.0352572,-0.0029834865
BNN-Improved,0.06,1.0540804,0.8112871050834656,1.0415947,-0.16175842
