Output,Period,Inter-event mean,Inter-region mean,Intra-event mean,tau,phi_r,phi,sigma
0.9s,0.9,0.0006637466290794402,6.05780161634474e-18,0.0,0.3624724298765647,1.1341960595252717e-17,0.6767078219279927,0.7676716346714584
0.95s,0.95,0.0006956201630014742,-2.293488677793071e-18,2.393205576827552e-18,0.36394559233056284,5.712551596554335e-18,0.6768635037808,0.7685054306426632
1.0s,1.0,0.0012845189273947607,3.901423674724082e-18,3.1909407691034026e-18,0.3644831059604469,1.1022654575994639e-17,0.6759901642556494,0.7679912998862385
1.1s,1.1,-7.276295424141948e-05,-1.403515353910325e-17,-7.977351922758506e-18,0.36320943560464497,1.034731431070436e-17,0.673699561013634,0.7653706243528086
1.2s,1.2,-0.0018136534259201283,-2.0691256549654874e-18,-2.393205576827552e-18,0.3642220339837471,1.1550213189305702e-17,0.675308757826283,0.7672676250410512
1.3s,1.3,-0.002680856121491102,-3.3155868928965044e-18,-5.5841463459309545e-18,0.3634497539149622,8.304351217285878e-18,0.6784043853681653,0.769628633632874
1.4s,1.4,-0.003996886993030008,-4.2878266584826965e-18,-3.988675961379253e-18,0.36700431638112213,1.332153893852457e-17,0.6791333244976284,0.7719548177747036
1.5s,1.5,-0.004635204322999569,8.849874789310204e-19,7.977351922758506e-19,0.3711816450270915,9.646705090978003e-18,0.6798421299372338,0.7745715817421992
1.6s,1.6,-0.005440776775308674,6.169983127758532e-18,1.0370557499586058e-17,0.3746096445718213,8.162158400181528e-18,0.6823714926771252,0.7784364070523899
1.7s,1.7,-0.004807482648160116,-2.293488677793069e-18,-3.988675961379253e-18,0.37749965199847485,1.1530629483420439e-17,0.6819589194330895,0.7794703041510412
1.8s,1.8,-0.004034150547000869,-2.492922475862034e-18,-2.393205576827552e-18,0.3792577174553323,3.795060346797151e-18,0.6802077631930713,0.7787933084956176
1.9s,1.9,-0.003846958791877772,-9.44817618351711e-18,-6.381881538206805e-18,0.3769120933334564,4.212132838439825e-18,0.678143086767709,0.7758484209121294
2.0s,2.0,-0.0040080093909314225,-2.21870100351721e-18,-7.977351922758506e-19,0.37596084779567396,1.117905796791474e-17,0.6758210827664975,0.7733567708289125
2.2s,2.2,-0.0033013329589055966,-1.396659817101704e-17,-7.179616730482656e-18,0.36967398368524657,1.5552800701094077e-17,0.6725233200518583,0.7674284789003429
2.4s,2.4,-0.004532390180857561,3.2781930557585746e-18,-7.179616730482656e-18,0.3619879329607557,1.8080735888508834e-17,0.6670191411680189,0.7589135644417763
2.5s,2.5,-0.004536783812894194,5.160349525034409e-18,7.977351922758506e-19,0.3611259357953998,1.0208512153638972e-17,0.6641210141775664,0.7559554636196121
2.6s,2.6,-0.005155287085949065,-6.7558199095861134e-18,0.0,0.3603158902576662,7.056983845181153e-18,0.6606194146733665,0.7524928915382231
2.8s,2.8,-0.004185967396993427,-9.049308587379181e-18,-3.1909407691034026e-18,0.3593604800653898,1.094362321023406e-17,0.6543546648089567,0.7465386674446739
3.0s,3.0,-0.004894821677824328,3.7643129385516704e-18,3.988675961379253e-18,0.35434392526124514,9.71586519931867e-18,0.6508761063469194,0.7410798359035774
3.2s,3.2,-0.004403542356121672,-2.0192672054482475e-18,-1.5954703845517013e-18,0.35530618922133556,8.813230752318079e-18,0.6459240413877115,0.737197636554555
3.4s,3.4,-0.004571047148467932,-1.7263488145344574e-18,7.977351922758506e-19,0.3573224520525827,9.365436256014443e-18,0.6411877416278123,0.7340306906081274
3.5s,3.5,-0.0050301144838243985,-2.891790071999959e-18,-2.393205576827552e-18,0.3573315291363157,6.511657879903657e-18,0.6401423557368641,0.7331221298823543
3.6s,3.6,-0.005251820054253058,-8.856107095499872e-18,-2.7920731729654773e-18,0.3573149695819471,8.29885407815308e-18,0.6390714975859416,0.7321791901673291
3.8s,3.8,-0.004865812212834811,-7.478767427586082e-20,-4.3875435575171786e-18,0.3565139962405621,6.747796294107842e-18,0.6349212813661669,0.7281670571009586
4.0s,4.0,-0.004010037675599172,-2.704820886310305e-18,-3.1909407691034026e-18,0.35754343647122694,1.1008850911442671e-17,0.6284340077762522,0.7230260099701649
4.2s,4.2,-0.003347311496494717,2.9042546843792687e-18,0.0,0.35872031239804275,6.274733273462116e-18,0.6218946792755238,0.7179368040699375
4.4s,4.4,-0.0036856840434752137,-6.581315336275768e-18,-6.381881538206805e-18,0.35912185921510437,1.3450117933367148e-17,0.6156957553566528,0.7127761029455971
4.6s,4.6,-0.003968907066409753,3.2532638309999533e-18,4.786411153655104e-18,0.3576789040105017,9.936461583123635e-18,0.6108343994564345,0.7078508754910575
4.8s,4.8,-0.0037823909376083205,4.0136051861378726e-18,5.5841463459309545e-18,0.3564325600050686,1.5212035481017763e-17,0.605172535993394,0.7023375030229004
5.0s,5.0,-0.004402544350627892,-3.988675961379254e-19,0.0,0.3553398138041688,8.662671391894217e-18,0.5998345539852492,0.6971856821744579
5.5s,5.5,-0.003953828641523999,-1.620399609310327e-19,1.5954703845517013e-18,0.3549807813247052,6.062490634876861e-18,0.5847279574891502,0.6840454220147457
6.0s,6.0,-0.0021567613631204847,8.101998046551605e-18,7.179616730482656e-18,0.348554919445539,9.233834733757832e-18,0.5725270803092277,0.6702818732123785
6.5s,6.5,-0.0008950768346763333,-1.271390462689637e-17,-6.7807491343447305e-18,0.34447428426690807,1.0735086804634926e-17,0.5617607890070812,0.6589671589594256
7.0s,7.0,0.00015516538465542407,3.888959062344772e-18,0.0,0.3454801651009945,7.655585808868397e-18,0.5543802714312562,0.6532182099654018
7.5s,7.5,0.0014090723748025902,-7.142222893344725e-18,-5.5841463459309545e-18,0.34965580528263124,6.6937709389170696e-18,0.5445083561920422,0.6471078211015574
8.0s,8.0,0.002577388138041752,7.865170411344713e-18,-1.5954703845517013e-18,0.3490597073326213,1.1823970445051905e-17,0.5369860123278317,0.6404659684314862
8.5s,8.5,0.0025501684211243682,-3.3654453424137443e-18,-1.196602788413776e-18,0.3456350648259232,1.606311273665592e-17,0.5267417644854464,0.6300162573223501
9.0s,9.0,0.0026205851576120895,-5.284995648827511e-18,-2.7920731729654773e-18,0.341955008244633,8.217404152095985e-18,0.5180712038082956,0.6207503522987028
9.5s,9.5,0.002555707163145878,-9.398317733999866e-18,-3.1909407691034026e-18,0.34055480658762277,6.3525635629952515e-18,0.5101759747328927,0.6133979959900344
10.0s,10.0,0.0021337921312579956,4.001140573758566e-18,-3.988675961379253e-19,0.33977866836096005,1.0031247849570269e-17,0.49986701495884267,0.6044142421526905
PGA,0.0,5.87862491038366e-05,-9.205116242120557e-18,-6.381881538206805e-18,0.37615323587526467,1.2298375317334589e-17,0.7133450072036813,0.8064442672385072
PGV,-1.0,0.0013455844730808698,2.2810240654137605e-18,3.1909407691034026e-18,0.31814733926160305,5.204417046500311e-18,0.5548123328546417,0.6395580146998764
PGD,-2.0,0.0015793541748110298,-7.578484326620578e-18,-2.692356273930996e-18,0.31647314521660314,1.1384981189761145e-17,0.5335359040993839,0.6203352421122277
